LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-122.0246521,36.965212,80,FRONT ST,211,,,,95060,,1028d88203edf633
-122.0246521,36.965212,80,FRONT ST,212A,,,,95060,,a5de92ecbe21544a
-122.0246521,36.965212,80,FRONT ST,212B,,,,95060,,ea99bfaba55879f6
-122.0246521,36.965212,80,FRONT ST,213,,,,95060,,54c80472a13bf676
-122.0246521,36.965212,80,FRONT ST,143A,,,,95060,,e5a1e2017f833d9b
-122.0246521,36.965212,80,FRONT ST,207,,,,95060,,9242911708e5a66e
-122.0246521,36.965212,80,FRONT ST,215B,,,,95060,,7fcbd37e9e861ff6
-122.0246521,36.965212,80,FRONT ST,214A,,,,95060,,f6366832bafa9ee9
-122.0246521,36.965212,80,FRONT ST,214B,,,,95060,,4ddb93d89c291c3d
-122.0246521,36.965212,80,FRONT ST,216B,,,,95060,,f087e2baa59ddaef
-122.0246521,36.965212,80,FRONT ST,215A,,,,95060,,a19e3f565c2480c2
-122.0246521,36.965212,80,FRONT ST,217B,,,,95060,,336778793e1ac2d5
-122.0246521,36.965212,80,FRONT ST,219,,,,95060,,43f3d02b59ffdfdd
-122.0246521,36.965212,80,FRONT ST,218,,,,95060,,499d4d7097036033
-122.0246521,36.965212,80,FRONT ST,204A,,,,95060,,dddc85d0e4dd420f
-122.0246521,36.965212,80,FRONT ST,221,,,,95060,,f3f77f47189d9518
-122.0246521,36.965212,80,FRONT ST,222A,,,,95060,,16740cf2cd2e819e
-122.0246521,36.965212,80,FRONT ST,222B,,,,95060,,67c9c3d73fb8ed46
-122.0246521,36.965212,80,FRONT ST,223,,,,95060,,4930a92b90d62708
-122.0246521,36.965212,80,FRONT ST,224,,,,95060,,711170214d6542dc
-122.0246521,36.965212,80,FRONT ST,225B,,,,95060,,bd39644e91b731f0
-122.0246521,36.965212,80,FRONT ST,210,,,,95060,,eda1f014e79a6b4f
-122.0246521,36.965212,80,FRONT ST,227,,,,95060,,d40af9c77fc6417c
-122.0246521,36.965212,80,FRONT ST,216A,,,,95060,,581ad042999654da
-122.0246521,36.965212,80,FRONT ST,228,,,,95060,,dfcee20255f6cbd9
-122.0246521,36.965212,80,FRONT ST,229A,,,,95060,,5faa7dc84be57108
-122.0246521,36.965212,80,FRONT ST,229B,,,,95060,,41fa798ff612f13c
-122.0246521,36.965212,80,FRONT ST,230,,,,95060,,a0b23ef7f753acf7
-122.0246521,36.965212,80,FRONT ST,231A,,,,95060,,0299d9bc90de4707
-122.0246521,36.965212,80,FRONT ST,231B,,,,95060,,1fe6036721924147
-122.0246521,36.965212,80,FRONT ST,237A,,,,95060,,a9a4e332713a723c
-122.0246521,36.965212,80,FRONT ST,217A,,,,95060,,9a385aa3987c3870
-122.0246521,36.965212,80,FRONT ST,237B,,,,95060,,e2e23ae5f9e371d2
-122.0246521,36.965212,80,FRONT ST,225A,,,,95060,,f7b4fd18448374ef
-122.0246521,36.965212,80,FRONT ST,243A,,,,95060,,d4e8e4efa9fff7a8
-122.0246521,36.965212,80,FRONT ST,226,,,,95060,,c24e8a238b85184d
-122.0246521,36.965212,80,FRONT ST,243B,,,,95060,,9f4b990808f8de2f
-122.0246521,36.965212,80,FRONT ST,245A,,,,95060,,b2d51bd5d2985c4b
-122.0246521,36.965212,80,FRONT ST,245B,,,,95060,,07a6e6f331d55687
-122.0246521,36.965212,80,FRONT ST,247,,,,95060,,2543ac46b971162c
-122.0246521,36.965212,80,FRONT ST,233,,,,95060,,0d3351acb9554a89
-122.0246521,36.965212,80,FRONT ST,301B,,,,95060,,5f49adcd5951c17b
-122.0246521,36.965212,80,FRONT ST,239,,,,95060,,34e29473c84776fd
-122.0246521,36.965212,80,FRONT ST,220,,,,95060,,cbdbe7bc61a33003
-122.0246521,36.965212,80,FRONT ST,303A,,,,95060,,0a64c559eb1e733a
-122.0246521,36.965212,80,FRONT ST,241,,,,95060,,7ccad04d0dc2d5b5
-122.0246521,36.965212,80,FRONT ST,303B,,,,95060,,be2805cfd29ef250
-122.0246521,36.965212,80,FRONT ST,304A,,,,95060,,3495a884c3463832
-122.0246521,36.965212,80,FRONT ST,306,,,,95060,,3faf8d4ac4d1337d
