         25797326 function calls (23699534 primitive calls) in 1837.393 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.077    0.077 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_list_array_utils.py:70(array_to_list)
        1    0.028    0.028    0.077    0.077 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_list_array_utils.py:76(<listcomp>)
    61957    0.039    0.000    0.076    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:39(__init__)
        3    0.011    0.004    0.075    0.025 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:912(<listcomp>)
    46220    0.056    0.000    0.072    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/constr.py:220(cplex_num_rhs)
        2    0.005    0.003    0.072    0.036 {built-in method builtins.sum}
        1    0.000    0.000    0.072    0.072 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:801(__len__)
    92440    0.036    0.000    0.072    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:811(getnumrows)
    29207    0.034    0.000    0.072    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/solution.py:221(_set_var_value_internal)
    15243    0.035    0.000    0.071    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:988(clone)
    95670    0.053    0.000    0.070    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:676(items)
   536188    0.068    0.000    0.068    0.000 {method 'items' of 'dict' objects}
    30979    0.010    0.000    0.067    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:802(<genexpr>)
    37476    0.030    0.000    0.063    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:153(new_zero_expr)
    46220    0.044    0.000    0.059    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/tck.py:309(typecheck_two_in_model)
   353854    0.059    0.000    0.059    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:45(__init__)
    33101    0.030    0.000    0.059    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:291(__iter__)
    46917    0.058    0.000    0.058    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:279(__call__)
    58668    0.040    0.000    0.058    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:257(_geom)
    66160    0.044    0.000    0.058    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:283(adj)
    61959    0.040    0.000    0.056    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/tck.py:279(static_validate_num)
    46220    0.041    0.000    0.056    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/constr.py:153(__init__)
   374601    0.052    0.000    0.052    0.000 {built-in method builtins.len}
       44    0.006    0.000    0.052    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:27(connected_components)
    16349    0.007    0.000    0.052    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:946(<genexpr>)
    46220    0.032    0.000    0.050    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/utils.py:861(notify_obj_index)
    16306    0.035    0.000    0.050    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:387(__getitem__)
   231263    0.049    0.000    0.049    0.000 {built-in method builtins.iter}
    61957    0.025    0.000    0.049    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_pycplex.py:3183(__getitem__)
        1    0.000    0.000    0.048    0.048 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/solution.py:439(get_value_dict)
        1    0.019    0.019    0.048    0.048 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/solution.py:456(<dictcomp>)
    92440    0.031    0.000    0.048    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/numerictypes.py:293(issubclass_)
   354296    0.048    0.000    0.048    0.000 {method 'append' of 'list' objects}
    64036    0.047    0.000    0.047    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:302(new_edge_key)
    92442    0.034    0.000    0.047    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/basic.py:459(notify_used)
   185868    0.047    0.000    0.047    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:61(<genexpr>)
    46220    0.047    0.000    0.047    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:388(_allocate_one_index)
    16349    0.016    0.000    0.046    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:199(_plain_bfs)
   239567    0.045    0.000    0.045    0.000 {built-in method _json.encode_basestring_ascii}
    46220    0.019    0.000    0.044    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:235(free_CHBmat)
        1    0.000    0.000    0.044    0.044 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1527(__add__)
        1    0.000    0.000    0.044    0.044 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1471(plus)
        1    0.000    0.000    0.044    0.044 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1284(add)
        1    0.009    0.009    0.044    0.044 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1267(_add_expr)
   164844    0.043    0.000    0.043    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/filters.py:58(__call__)
        1    0.000    0.000    0.042    0.042 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_subinterfaces.py:133(_conv)
        1    0.000    0.000    0.042    0.042 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_aux_functions.py:296(convert)
        1    0.023    0.023    0.042    0.042 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_aux_functions.py:285(_convert_sequence)
   188945    0.042    0.000    0.042    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:177(__getitem__)
    46219    0.022    0.000    0.040    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/utils.py:144(_is_numpy_ndslot)
    92444    0.038    0.000    0.038    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_parameter_classes.py:68(get)
    75174    0.038    0.000    0.038    0.000 {built-in method builtins.hasattr}
    30978    0.032    0.000    0.038    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:285(adj)
   188952    0.038    0.000    0.038    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:167(__init__)
    97219    0.037    0.000    0.037    0.000 {method 'copy' of 'dict' objects}
    92440    0.036    0.000    0.036    0.000 {built-in method cplex._internal.py36_cplex1280.CPXXgetnumrows}
